age,two-year-recid,priors-count,length-of-stay,c-charge-degree,sex,race
0.2948717948717949,1.0,0.18421052631578946,0.0012515644555694619,0.0,0.0,1.0
0.717948717948718,0.0,0.0,0.0,0.0,1.0,0.0
0.07692307692307693,1.0,0.07894736842105263,0.0012515644555694619,1.0,0.0,1.0
0.24358974358974358,0.0,0.0,0.0,0.0,0.0,0.0
0.24358974358974358,0.0,0.05263157894736842,0.0,0.0,0.0,1.0
0.0641025641025641,0.0,0.0,0.0,0.0,1.0,0.0
0.08974358974358974,0.0,0.0,0.0012515644555694619,1.0,0.0,0.0
0.20512820512820512,1.0,0.3684210526315789,0.05006257822277847,1.0,0.0,0.0
0.23076923076923078,0.0,0.15789473684210525,0.0,1.0,0.0,0.0
0.038461538461538464,1.0,0.02631578947368421,0.0025031289111389237,1.0,0.0,0.0
0.5128205128205128,0.0,0.15789473684210525,0.1802252816020025,1.0,0.0,1.0
0.38461538461538464,0.0,0.0,0.0012515644555694619,1.0,0.0,1.0
0.11538461538461539,1.0,0.18421052631578946,0.03379224030037547,0.0,0.0,1.0
0.3076923076923077,1.0,0.34210526315789475,0.0,0.0,0.0,1.0
0.08974358974358974,1.0,0.0,0.0012515644555694619,0.0,1.0,1.0
0.21794871794871795,0.0,0.02631578947368421,0.0012515644555694619,0.0,0.0,1.0
0.02564102564102564,1.0,0.0,0.0012515644555694619,1.0,0.0,0.0
0.10256410256410256,0.0,0.07894736842105263,0.0,1.0,1.0,1.0
0.038461538461538464,1.0,0.05263157894736842,0.03504380475594493,1.0,0.0,1.0
0.10256410256410256,0.0,0.0,0.0012515644555694619,1.0,0.0,1.0
0.20512820512820512,0.0,0.5,0.0012515644555694619,0.0,0.0,1.0
0.2692307692307692,0.0,0.0,0.006257822277847309,1.0,0.0,0.0
0.5384615384615384,0.0,0.10526315789473684,0.007509386733416771,1.0,0.0,0.0
0.16666666666666666,1.0,0.02631578947368421,0.0,1.0,1.0,0.0
0.5512820512820513,1.0,0.02631578947368421,0.0,1.0,0.0,1.0
0.0641025641025641,1.0,0.13157894736842105,0.04005006257822278,0.0,0.0,0.0
0.20512820512820512,1.0,0.5263157894736842,0.03254067584480601,1.0,0.0,1.0
0.16666666666666666,1.0,0.18421052631578946,0.0012515644555694619,0.0,0.0,0.0
0.3717948717948718,0.0,0.02631578947368421,0.0012515644555694619,1.0,0.0,1.0
0.2564102564102564,0.0,0.07894736842105263,0.0012515644555694619,1.0,0.0,1.0
0.08974358974358974,1.0,0.10526315789473684,0.006257822277847309,1.0,0.0,0.0
0.10256410256410256,1.0,0.05263157894736842,0.0,1.0,0.0,0.0
0.1282051282051282,0.0,0.5526315789473685,0.0012515644555694619,1.0,0.0,1.0
0.2692307692307692,0.0,0.0,0.0,1.0,0.0,0.0
0.02564102564102564,1.0,0.02631578947368421,0.016270337922403004,1.0,0.0,0.0
0.24358974358974358,1.0,0.0,0.0,1.0,0.0,0.0
0.11538461538461539,0.0,0.13157894736842105,0.0,1.0,0.0,0.0
0.11538461538461539,0.0,0.2894736842105263,0.0050062578222778474,1.0,0.0,1.0
0.20512820512820512,1.0,0.0,0.03629536921151439,0.0,0.0,0.0
0.3974358974358974,1.0,0.07894736842105263,0.0425531914893617,1.0,0.0,0.0
0.16666666666666666,1.0,0.2631578947368421,0.010012515644555695,1.0,0.0,1.0
0.14102564102564102,1.0,0.3157894736842105,0.015018773466833541,1.0,0.0,1.0
0.07692307692307693,1.0,0.05263157894736842,0.04130162703379224,0.0,0.0,1.0
0.10256410256410256,0.0,0.13157894736842105,0.0025031289111389237,1.0,0.0,1.0
0.08974358974358974,0.0,0.0,0.0050062578222778474,0.0,0.0,0.0
0.3717948717948718,1.0,0.5,0.26533166458072593,1.0,0.0,1.0
0.038461538461538464,1.0,0.0,0.0,1.0,1.0,1.0
0.38461538461538464,1.0,0.6052631578947368,0.45056320400500627,1.0,0.0,0.0
0.11538461538461539,0.0,0.0,0.02127659574468085,1.0,0.0,1.0
0.3717948717948718,0.0,0.02631578947368421,0.0012515644555694619,0.0,0.0,1.0
0.46153846153846156,1.0,0.02631578947368421,0.0012515644555694619,0.0,0.0,0.0
0.38461538461538464,0.0,0.0,0.0012515644555694619,1.0,1.0,1.0
0.24358974358974358,1.0,0.13157894736842105,0.007509386733416771,0.0,0.0,1.0
0.44871794871794873,0.0,0.05263157894736842,0.05006257822277847,1.0,0.0,0.0
0.038461538461538464,0.0,0.02631578947368421,0.0,1.0,0.0,1.0
0.1794871794871795,1.0,0.10526315789473684,0.05506883604505632,1.0,0.0,1.0
0.5641025641025641,0.0,0.0,0.0,0.0,1.0,0.0
