status,duration,credit-history,purpose,amount,savings,employment-duration,installment-rate,personal-status-sex,other-debtors,present-residence,property,age,other-installment-plans,housing,number-credits,job,people-liable,telephone,foreign-worker
0.3333333333333333,0.35714285714285715,0.75,0.4,0.12044679212061186,0.25,0.25,1.0,0.25,0.0,1.0,1.0,0.2857142857142857,1.0,1.0,0.0,0.6666666666666666,0.0,1.0,0.0
0.3333333333333333,0.25,0.75,0.4,0.08979861340376362,0.25,0.5,1.0,0.25,0.0,1.0,0.3333333333333333,0.10714285714285714,0.0,0.5,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
0.6666666666666666,0.4642857142857143,0.75,0.3,0.17558049961483438,0.5,0.5,0.3333333333333333,0.25,0.5,1.0,0.3333333333333333,0.03571428571428571,1.0,0.5,0.0,0.6666666666666666,0.0,0.0,0.0
0.6666666666666666,0.25,0.5,0.1,0.11158798283261803,0.5,0.25,0.6666666666666666,0.25,0.0,0.6666666666666666,0.3333333333333333,0.16071428571428573,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
0.6666666666666666,0.35714285714285715,0.0,0.3,0.09981291955540883,0.25,0.0,0.6666666666666666,0.25,0.0,0.3333333333333333,0.6666666666666666,0.26785714285714285,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.5714285714285714,0.0,0.4,0.23181468031253438,0.25,0.5,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.125,1.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.0
0.3333333333333333,0.35714285714285715,1.0,0.0,0.06096621547265324,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.375,0.5,1.0,0.0,1.0,0.0,1.0,0.0
0.6666666666666666,0.4642857142857143,0.75,0.1,0.10454495433036205,0.25,0.5,1.0,0.25,1.0,0.3333333333333333,0.0,0.08928571428571429,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0
0.6666666666666666,0.5714285714285714,0.5,1.0,0.09370529327610873,0.25,1.0,1.0,1.0,0.0,1.0,0.0,0.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.3333333333333333,0.14285714285714285,0.75,0.4,0.025255860019808517,0.25,1.0,1.0,1.0,0.0,1.0,1.0,0.6785714285714286,0.5,1.0,0.0,0.3333333333333333,0.0,0.0,0.0
0.0,0.10714285714285714,0.75,0.3,0.10784637394079453,0.25,0.5,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.10714285714285714,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0
0.6666666666666666,0.19642857142857142,1.0,0.1,0.36315615714757343,0.5,0.0,0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.26785714285714285,1.0,1.0,0.0,1.0,1.0,1.0,0.0
0.6666666666666666,0.07142857142857142,0.75,0.3,0.054308352591614394,0.25,0.5,0.6666666666666666,0.25,0.0,1.0,1.0,0.08928571428571429,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0
0.3333333333333333,0.25,0.75,0.2,0.39952679652250467,0.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.5714285714285714,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0
0.0,0.35714285714285715,0.75,1.0,0.23885770881479035,1.0,0.5,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6666666666666666,0.625,1.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.0
0.3333333333333333,0.08928571428571429,0.75,0.1,0.022229558710245404,0.25,0.5,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.16071428571428573,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0
0.6666666666666666,0.4107142857142857,0.5,1.0,0.4439308902828216,0.25,1.0,0.3333333333333333,0.25,0.0,1.0,0.0,0.4107142857142857,1.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.0
0.3333333333333333,0.35714285714285715,0.75,0.1,0.06223175965665236,0.0,0.5,1.0,0.25,0.0,0.3333333333333333,0.6666666666666666,0.2857142857142857,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0
0.0,0.25,0.25,0.7,0.08880818752063387,0.5,0.5,1.0,0.25,0.0,0.3333333333333333,1.0,0.19642857142857142,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
1.0,0.25,0.75,0.4,0.10179377132166832,0.25,0.5,1.0,1.0,0.5,0.3333333333333333,1.0,0.32142857142857145,0.5,1.0,0.0,0.6666666666666666,0.0,0.0,0.0
0.6666666666666666,0.35714285714285715,0.75,0.3,0.20947507428194123,0.25,0.75,0.6666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,0.42857142857142855,1.0,1.0,0.0,0.6666666666666666,0.0,1.0,0.0
